,Title,Document type,Reference Number,Date,Source,Status,Subject,Meeting,Treaty,Website,Field of application,Abstract
1436,"Accord relatif aux conditions dxc3xa9changes de coquillages vivants entre le Gouvernement de la Rxc3xa9publique franxc3xa7aise et le Gouvernement de la Rxc3xa9publique dIslande ensemble huit annexes, ",Bilateral,No Data,"Jan 30, 1992","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149265)",No Data,"Fisheries, Food &amp; nutritio",No Data,No Data,No Data,Regional/restricted,No Data
1437,"Bilateral Agreement between the Lithuanian Department of Environment and the Ministry of Environmental Protection, Nature Conservation and Forestry of Poland",Bilateral,No Data,"Jan 24, 1992","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148693)",No Data,Environment gen.,No Data,No Data,No Data,Regional/restricted,"This Agreement is composed of 5 articles. This Agreement deals with the bilateral cooperation between Lithuania and Poland in the sphere of environmental protection. It specifies the areas of its sphere of application such as borderline water basins\' protection, environmental and atmospheric protection on the local as well as on the global scale. The document determines the modalities of application of the Agreement in the following forms: preparation and realisation of joint programs and projects, consultations between experts, formation of working groups, convocation of conferences and seminars, exchange of specialists, exchange of scientific, technological, legislative and other information."
1438,Bilateral Commercial Agreement between Jordan and Libya,Bilateral,No Data,"Jan 20, 1992","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150048)",No Data,"Livestock, Agricultural &amp; rural development",No Data,No Data,www.moa.gov.jo,Regional/restricted,"This Agreement is composed of 11 articles.  Article 1 decrees the exemption of agricultural, industrial, animal and natural resource products from taxes and fees in the two Countries. Article 2 defines the Jordanian and Libyan animal, agricultural and natural resource products. Article 3 specifies certificates to be provided with exported products of origin issued from chambers of commerce and chambers of industry. Article 5 encourages the exchange of information related to available quantities for the exportation. Article 8 invites tow Countries to cooperate in the participation in international expositions and exhibitions held in their Countries. Article 9 subjects exchanged commodities and goods to sanitary and agricultural requirements and measures in force in the two Countries."
1439,Bilateral Agreement between Jordan and Libya in Sea Trade Transportation and Sea Navigation,Bilateral,No Data,"Jan 20, 1992","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150051)",No Data,Sea,No Data,No Data,www.mot.gov.jo,Regional/restricted,"This Agreement is composed of 17 articles. Article 1 deals with terms and definitions. Article 2 decrees the invalidity of this Agreement for the unopened ports to the international navigation as well as for ships and fleets used for un-commercial purposes. Articles 3-5 define measures to be taken by the two Parts to facilitate assessment, salvage and aids in case of marine accidents. Articles 6 and 7 deal with the reciprocal recognition of ship documents and crew identitiy and load\xc2\x92s certificates. Article 9 relates to the dispute settlement. Article 10 encourages the following activities between the tow Countries: (a) exchange of marine and management experiences regarding the sea transportation and port specially in maintenance and reparation of ships; (b) giving the priority to the ships of the Two Parts to transport the goods and commodities between their ports; (c) establishing a regular navigation line between their countries; (d) allowing to their citizens to access to marine academies and institutions; and (e) giving the priority to the crews to command and captain their ships. Article 11 invites the two Parts to unify their positions in the international marine organizations and to cooperate in joining to international agreements and treaties related to the navigation. Article 12 decrees the establishment of the Sea Joint Committee to implement this Agreement."
1440,"Agreement between the Governments of Ukraine, Azerbaijan and the Islamic Republic of Iran on cooperation in oil and gas sector",Multilateral,No Data,"Jan 7, 1992",IUCN (ID: TRE-153483),No Data,"Energy, Mineral resources",No Data,No Data,www.rada.kiev.ua,,The Contracting Parties have agreed to cooperate in the following fields: (a) oil-well drilling and gas-well drilling; (b) exploration of deposits; (c) supply of equipment for oil and gas production enterprises (art. 3).
1441,Agreement between the Government of the Russian Federation and the Government of Canada on delivery of grain,Bilateral,No Data,"Jan 2, 1992","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149499)",No Data,"Livestock, Food &amp; nutritio",No Data,No Data,www.government.ru,Regional/restricted,The Parties have agreed on the following issues: 1). The Agreement regards delivery of the Western Canadian wheat and fodder grain. Russian organizations shall purchase and the Canadian Grain Committee shall sell and ship from the date of entry into force of the present Agreement in each 12-month period 5 million metric tons of wheat and fodder grain. The Parties can agree on increase or reduction of the amount of wheat and fodder grain to be dispatched within every 12-month period taking into account that the total amount of wheat and fodder grain to be sold and dispatched during the period of validity of the present Agreement must not be lower than 25 million metric tons. The Parties agree that wheat and fodder grain dispatched from Canada on the basis of the present Agreement are destined for the Russian Federation still they can be re-destined to other states in accordance with the obligations of the Russian Federation to those states.
1442,European Energy Charter,Multilateral,No Data,"Dec 17, 1991",IUCN (ID: TRE-160046),No Data,Energy,No Data,No Data,www.energycharter.org,Global,"The 1991 Energy Charter, also known as the European Energy Charter, provides the political foundation for the Energy Charter Process. The Charter is a concise expression of the principles that should underpin international energy cooperation, based on a shared interest in secure energy supply and sustainable economic development. The 1991 Energy Charter, also known as the European Energy Charter, provides the political foundation for the Energy Charter Process. The Charter is a concise expression of the principles that should underpin international energy cooperation, based on a shared interest in secure energy supply and sustainable economic development. (Source: http://www.energycharter.org/process/european-energy-charter-1991/)"
1443,Agreement for the Establishment of the Intergovernmental Organization for Marketing Information and Cooperation Services for Fishery Products in Africa INFOPECHE,Multilateral,No Data,"Dec 13, 1991",IUCN (ID: TRE-001388),No Data,"Fisheries, Sea",No Data,No Data,www.globefish.org\n          \n            \n            www.fao.org,Regional/restricted,"Objectives: To establish the Intergovernmental Organisation for Marketing Information and Co-operation for Fishery Products in Africa (INFOP\xc3\x8aCHE). Summary of provisions: Parties agree that the objectives of INFOP\xc3\x8aCHE are to contribute to the development and modernisation of their fisheries sector, contribute to a more balanced supplies of fishery products, make the best use of export opportunities, and promote technical and economic co-operation among them (art. 3). To these ends, INFOP\xc3\x8aCHE is to provide marketing information on fishery products, advice on technological developments, product specifications, processing methods and quality standards, assistance in identifying new products and promoting under-utilised species, and training of staff in marketing development (art. 4). INFOP\xc3\x8aCHE is also to co-operate with other international fisheries institutions which may contribute to its work (art. 13). INFOP\xc3\x8aCHE is established, with a Governing Council and a Director (art. 1 and 7)."
1444,Protocol to the Convention of 8 October 1990 between the Governments of the Federal Republic of Germany and the Slovak Federal Republic and the European Economic Community on the International Commiss,Multilateral,No Data,"Dec 9, 1991",IUCN (ID: TRE-001976),No Data,Water,No Data,No Data,www.auswaertiges-amt.de,Regional/restricted,"For the purpose of fulfilment of tasks conferred on it under the Convention on the protection of the Elbe concluded between the Parties, the Commission shall have legal capacity in accordance with the law obtaining at the place at which its Secretariat has its headquarters. It shall in particular have the capacity to conclude any contracts required to fulfil its tasks, to acquire and to dispose of immovable and movable property and to take part in legal proceedings. For this purpose, the Commission shall be represented by its chairman. The chairman may appoint a representative in accordance with the rules of procedure."
1445,Agreement on the Conservation of European Bats,Multilateral,No Data,"Dec 4, 1991",IUCN (ID: TRE-001154),No Data,Wild species &amp; ecosystems,No Data,No Data,www.eurobats.org\n          \n            \n            www.fco.gov.uk\n          \n            \n            treaties.fco.gov.uk,Regional/restricted,"Objectives: To complement the 1979 Convention on the Conservation of Migratory Species of Wild Animals in order to undertake regulatory measures for the conservation of bats in Europe. Summary of provisions: (a)\tDesignation by each Party of competent authority (authorities) responsible for the implementation of the Agreement (art. II); (b)\tEach Party has obligations for the conservation of bats, including: to prohibit the deliberate capture, keeping or killing of bats except under permit from its competent authority; to identify those sites within its own area of jurisdiction which are important for the conservation of bats; to take appropriate measures to promote the conservation of bats; to take actions necessary to safeguard population of bats; to promote research programmes, as appropriate; to consider the potential effects of pesticide on bats and to endeavour to replace timber treatment chemicals which are highly toxic to bats with safer alternatives (art. III); (c)\tProvisions on each Party\xc2\x92s obligation to adopt and enforce such legislative and administrative measures as may be necessary for the implementation of the Agreement (art. IV). (Source: UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 2005)"
1446,Memorandum of Understanding between the Environmental Protection Agency of the United States of America and the Ministry of the Environment of Israel concerning cooperation in the field of environment,Bilateral,No Data,"Nov 26, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152118)",No Data,Environment gen.,No Data,No Data,No Data,Regional/restricted,"An Agreement to provide for a program of scientific and technical cooperation with regard to the protection of the environment. The cooperative activities between the Parties may consist of exchanges of scientific and technical information; exchange of visits of scientific personnel, holding of symposiums and workshops, and other activities as may be agreed upon. The terms of such cooperation shall be established by exchange of letters by the appropriate officials of the two institutions. Protection of intellectual property and rights thereto will be as set forth in Annex I appended to the memorandum as shall form an integral part of it."
1447,Agreement between the Government of the United States of America and the Government of Jamaica concerning the Establishment of an Enterprise for the Americas Environmental Foundation,Bilateral,No Data,"Nov 26, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152073)",No Data,Environment gen.,No Data,No Data,No Data,Regional/restricted,"The purpose of this Agreement is to provide for the establishment of a foundation in accordance with laws of Jamaica which shall promote and implement activities designed to conserve and manage the natural resources and environment of Jamaica in the interest of sustainable development (art. I). The Parties shall agree on the articles of association of the Foundation (art.II). The Government of Jamaica shall also create an environmental fund which shall be administered by the Foundation. The Foundation shall be financed by the Government of Jamaica under a ""debt reduction agreement"" which allows Jamaica to reduce its foreign currency debt versus the United States by financing in local currency this nature conservation initiative (art. III). The Foundation shall act as a source of finance for eligible projects defined under article VI. (11 articles)"
1448,Agreement between the Government of the United States of America and the Government of Bolivia concerning the establishment of an enterprise for the Americas Environmental Account at the National Fund,Bilateral,No Data,"Nov 26, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152112)",No Data,Environment gen.,No Data,No Data,No Data,Regional/restricted,"The purpose of this Agreement is to carry into effect a new obligation with respect to debt owed by the Government of Bolivia to the Government of the United States. This obligation of Bolivia consist in the establishment of an account called ""Enterprise for the Americas Environmental Account"" and its administrative council at the National Fund for Environment of Bolivia (art. I). Subject to Article IV of the Debt Reduction Agreement, which outlines the new obligation, Bolivia shall ensure that the entire amount of interest owed on the new obligation shall be credited to the Account and deposited in local currency in an Operating Account at the Central Bank of Bolivia in accordance with the agreed payment schedule. The National fund for the Environment shall employ an investment agent who shall establish an investment account (art. II). Article III provides for the establishment and composition of the Council, and article IV for its functions. Article V outlines the functions of the National Fund of the Environment. Article VI lists the activities which may be funded under this Agreement. Remaining articles provide for disbursements of funds, consultation and review, termination, and entry into force. (11 articles)"
1449,Protocol to the 1979 Convention on LongRange Transboundary Air Pollution concerning the Control of Emissions of Volatile Organic Compounds or their Transboundary Fluxes,Multilateral,No Data,"Nov 18, 1991",IUCN (ID: TRE-001130),No Data,"Waste &amp; hazardous substances, Air &amp; atmosphere",No Data,No Data,www.unece.org\n          \n            \n            treaties.un.org,Regional/restricted,"Objective: To enhance the framework for the control of long-range transboundary air pollution.\n          \n            Summary of provisions: Article 1 defines EMEP, tropospheric ozone, take measures to control and reduce national emissions of volatile organic compounds, cooperate in controlling transboundary fluxes of such emissions and generating information to facilitate the control of such emissions (arts. 2 and 8). Parties are to exchange technology on appropriate terms, as a way of controlling the emission of VOCs (art. 4).\n          \n            Institutional mechanisms: Parties undertake to regularly review the working of the Protocol (arts. 5 and 6). A mechanism for the settlement of disputes is established by article 12.\n          \n            (Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)"
1450,Convention concerning the Protection of the Alps,Multilateral,No Data,"Nov 7, 1991",IUCN (ID: TRE-001126),No Data,"Forestry, Environment gen., Water, Energy, Wild species &amp; ecosystems, Land &amp; soil, Air &amp; atmosphere, Waste &amp; hazardous substances",No Data,No Data,www.alpconv.org,Regional/restricted,"Objectives: To promote a comprehensive policy for the preservation and protection of the Alps. Summary of provisions: The Convention covers the Alpine region, as defined in the Annex (art. 1).Parties agree to apply the principle of prevention, the polluter pays principle, and the principle of co-operation, as well as to use resources in a prudent and sustainable way (art. 2 -1). Transborder co-operation is encouraged. Parties undertake to take appropriate measures in the areas of population and culture, regional planning, prevention of air pollution, soil conservation, water management, conservation of nature and the countryside, mountain farming, mountain forests, tourism and recreation, transport, energy, and waste management (art. 2 -2). In such areas, Parties further agree to develop joint or complementary systematic monitoring programmes, and to harmonise research and monitoring activities (art. 3). Protocols are to be agreed upon for the implementation of the Convention (art. 2 -3). Finally, Parties undertake to co-operate in the exchange of legal, scientific, economic and technical information, and to keep the public regularly informed (art. 4). Institutional mechanisms: Article 5 establishes a Conference of Contracting Parties, the Alpine Conference, to, inter alia, adopt Protocols and their Annexes and amendments thereto, examine their implementation, and ensure that secretariat functions are implementation, and ensure that secretariat functions are executive body (art. 8)."
1451,Agreement between Belarus and Uzbekistan,Bilateral,No Data,"Nov 6, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150537)",No Data,Environment gen.,No Data,No Data,www.kaznachey.com,Regional/restricted,The Parties shall cooperate in the following fields: (a) joint management of energy systems; (b) environmental protection through participation in the creation of international ecological safety system and mutual assistance in case of natural disasters (art. 6). The Parties shall undertake joint efforts for the mitigation of the consequences of Chernobyl disaster and the Aral Sea ecological disaster and shall exchange information regarding the aforesaid problems (art. 7).
1452,Annex V to the Protocol on Environmental Protection to the Antarctic Treaty  Area Protection and Management,Multilateral,No Data,"Oct 18, 1991",IUCN (ID: TRE-148102),No Data,"Environment gen., Legal questions",No Data,No Data,www.ats.aq\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov,Regional/restricted,No Data
1453,Agreement of agricultural cooperation between the governments of the Hellenic republic and the state of Israel,Bilateral,No Data,"Oct 7, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148733)",No Data,Agricultural &amp; rural development,No Data,No Data,No Data,Regional/restricted,"The two Parties have agreed to cooperate in the agricultural field, on the basis of the laws prevailing in each country. The cooperation referred to in the present Agreement will comprise the sectors of agricultural research and development, as well as agricultural training and practice. More specifically, the cooperation will include activities in the following specific fields: land reclamation, aquaculture and fisheries, pasture, agricultural exploitation - crops, food technology, livestock growing - veterinary field, forestry - environment, agricultural training.In order to implement this Agreement, a Joint Committee of agricultural experts will be established by the Services and Institutions of the two Ministries."
1454,Annex IV to the Protocol on Environmental Protection to the Antarctic Treaty  Prevention of marine pollution,Multilateral,No Data,"Oct 4, 1991",IUCN (ID: TRE-147948),No Data,"Waste &amp; hazardous substances, Legal questions, Sea",No Data,No Data,www.ats.aq\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov,Regional/restricted,No Data
1455,Annex III to the Protocol on Environmental Protection to the Antarctic Treaty  Waste Disposal and Waste Management,Multilateral,No Data,"Oct 4, 1991",IUCN (ID: TRE-147914),No Data,"Environment gen., Legal questions",No Data,No Data,www.ats.aq\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov,Regional/restricted,No Data
1456,Annex II to The Protocol on Environmental Protection to the Antarctic Treaty  Conservation of Antarctic Fauna and Flora,Multilateral,No Data,"Oct 4, 1991",IUCN (ID: TRE-147880),No Data,"Environment gen., Legal questions",No Data,No Data,www.ats.aq\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov,Regional/restricted,No Data
1457,Annex I to the Protocol on Environmental Protection to the Antarctic Treaty  Environmental Impact Assesment,Multilateral,No Data,"Oct 4, 1991",IUCN (ID: TRE-147839),No Data,"Environment gen., Legal questions",No Data,No Data,www.state.gov\n          \n            \n            www.ats.aq,Regional/restricted,No Data
1458,Protocol to the Antarctic Treaty on Environmental Protection,Multilateral,No Data,"Oct 4, 1991",IUCN (ID: TRE-001120),No Data,"Air &amp; atmosphere, Mineral resources, Waste &amp; hazardous substances, Sea, Environment gen., Wild species &amp; ecosystems",No Data,No Data,www.ats.aq\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov\n          \n            \n            www.state.gov,Regional/restricted,"Objectives: To reaffirm the status of Antarctica as a special conservation area, and to enhance the framework for the protection of the Antarctic environment with its dependent and associated ecosystems.\n          \n            Summary of provisions: Article 3 addresses the environmental principles governing the conduct of States Parties in relation to Antarctica. The basic principle is to protect dependent and associated ecosystems as well as the intrinsic value of Antarctica (art. 3). States Parties undertake to cooperate in the planning and conduct of activities in the area (art. 6). Mineral resource enterprises, save for purposes of scientific research, are prohibited (art. 7). Environmental impact assessments are required for activities that are likely to entail significant adverse environmental consequences (art. 8). Mechanisms are established to undertake consultation and monitor activities carried out by States Parties (arts. 10, 11, 12, 13 and 14). States Parties are responsible for appropriate action to deal with any emergency that may ensue from their activities in Antarctica (art. 15). They agree to report annually on actions taken by them to implement the Protocol (art. 17). Dispute settlement procedures and a schedule on arbitration are established (arts. 18, 19 and 20).  The Protocol has the following annexes: environment impact assessment; conservation of Antarctic fauna and flora, waste disposal and waste management, prevention of marine pollution.\n          \n            (Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)"
1459,Protocol additional to the Convention for the Protection of the Rhine from Pollution by Chlorides,Multilateral,No Data,"Sep 25, 1991",IUCN (ID: TRE-001185),No Data,"Water, Waste &amp; hazardous substances",No Data,No Data,www.eda.admin.ch,Regional/restricted,"Objectives: To reduce the amount of chlorides in the Rhine. Summary of provisions: At times when the concentration of chloride in the Rhine exceeds a certain limit at the German-Dutch border, the French Government undertakes to reduce its discharges in addition to the reduction it agreed to under article 2 of the Convention(art. 1). The Government of the Netherlands is to reduce the amount of chlorides it dumps into the Jsselmer (art. 3). Parties are to, inter alia, share the costs of such reductions, adopt measures to prevent an increase in ion-chlorides in the Rhine basin and report yearly to the International Commission for the Protection of the Rhine Against Pollution. Articles 3 and 6 of the Convention are repealed, and annex IV of the Protocol replaces annex II to the Convention."
1460,International Agreement between the Government of the USSR and the Government of the Republic of Korea on fisheries cooperation 1991,Bilateral,No Data,"Sep 16, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149616)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,The Parties will cooperate and will undertake the necessary arrangements for the purpose of establishing mutually beneficial and equal in rights relations in the sphere of fisheries. The Parties will carry out mutually beneficial cooperation in the sphere of fisheries along the following directions: 1. carrying out fishing research regarding issues of mutual interest; 2. conservation and optimum use of live marine biodiversity of the North-Western part of the Pacific Ocean; 3. rendering mutual services in fishing areas as regards supply of fishing vessels and transportation of fish products; 4. mutual assistance in maintenance and construction of fishing vessels; 5. development of aquaculture and mariculture; 6. assistance to enterprises and companies of both states as regards setting up joint-ventures; 7. elaboration and creation of fishing gear and fishing methods; 8. prevention of marine pollution; 9. exchange of scientific information and ensuring access to such information for the fishermen of both states.
1461,Agreement between the Government of the Russian Federation and the Government of the Republic of Korea on cooperation in the sphere of fisheries,Bilateral,No Data,"Sep 16, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150378)",No Data,Fisheries,No Data,No Data,www.vcom.ru,Regional/restricted,"The Parties shall carry out cooperation in the following fields: (a) conservation and optimal management of living marine resources in the North-Western area of the Pacific Ocean; (b) mutual assistance as regards transportation of catch; (c) promotion of aquaculture and mariculture; (d) prevention of marine pollution; (e) exchange of information, experts and scientists (art. 2). Each Party can authorize citizens and fishing vessels of the other  to carry out fisheries in conformity with their own  legislation in the area adjacent to the  coastal zone in the North-Western area  of the Pacific Ocean (art. 3). Each Party authorizes the inspection on board of its own  fishing vessels by the authorized officials of the other  (art. 5). The Parties recognize that catch of anadromous fishes cannot be carried out outside the national jurisdiction zone (art. 6)."
1462,Pacific Salmon Fisheries  Agreement Between the United States of America and Canada of 1991,Bilateral,No Data,"Aug 12, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152049)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"This Agreement holds a revised version the Annex IV of the Treaty concluded between the Parties of January 28, 1985, as amended. Annex IV to the Treaty is amended on the basis of recommendations made by the Pacific Salmon Commission in 1990 in accordance with article XIII, paragraph 3 of the Treaty. The Annex specifies in Chapters 1 to 6 management and conservation measures for specific areas including transboundary rivers or in respect of salmon species. Total allowable catches of the Parties are fixed on the basis of estimations of joint technical committees or a percentage of total allowable catch earlier fixed or are indicated in the amended Annex."
1463,Fisheries North Pacific driftnet  Agreement between the United States of America and the Republic of Korea,Bilateral,No Data,"Aug 7, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-151980)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"The Parties agree on procedures with respect to requests of one party to visit a vessel of the other party to verify compliance with drifnet fishing regulations (commas [a], [b], [d], [e], [f] and [g]). The visiting officials may verify compliance with drifnet fishing regulations, remove any anadromous species on board, document incidental catches of marine mammals, seabirds, and anadromous species, and take representative samples of these resources (comma [c]). The appropriate authorities will ensure that the visit and verification procedure for driftnet vessels will also apply to all transport vessels (comma [h])."
1464,Tratado entre La Repxc3xbablica Argentina y la Repxc3xbablica de Chile sobre medio ambiente,Bilateral,No Data,"Aug 2, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149484)",No Data,"Wild species &amp; ecosystems, Land &amp; soil, Air &amp; atmosphere, Environment gen., Water, Waste &amp; hazardous substances, Sea",No Data,No Data,No Data,Regional/restricted,No Data
1465,Accord entre le Conseil fxc3xa9dxc3xa9ral suisse et le Gouvernement de la Rxc3xa9publique franxc3xa7aise concernant lexercice de la pxc3xaache et la protection des milieux aquatiques dans la partie du,Bilateral,No Data,"Jul 29, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-151971)",No Data,"Fisheries, Wild species &amp; ecosystems",No Data,No Data,www.admin.ch,Regional/restricted,No Data
1466,Rxc3xa8glement dapplication de lAccord entre le Conseil fxc3xa9dxc3xa9ral suisse et le Gouvernement de la Rxc3xa8publique franxc3xa7aise concernant lexercice de la pxc3xaache et la protection des mili,Bilateral,No Data,"Jul 29, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152013)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,No Data
1467,Agreement between the Government of the French Republic and the Government of the United Kingdom of Great Britain and Northern Ireland relating to the completion of the delimitation of the continental,Bilateral,No Data,"Jul 23, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152667)",No Data,Sea,No Data,No Data,No Data,Regional/restricted,The Parties hereby determine the delimitation of the boundaries of their respective adjacent continental shelf. The boundary shall be a loxodrome joining points 14 and 15 on the chart. Points 1 to 14 were determined by Agreement of 24 June 1982. The co-ordinates of the tripoint (being Belgium the third State interested) are given in article 1. Correct co-ordinates for points 13 and 14 are given. (3 articles)
1468,Convenio de Cooperacixc3xb3n Txc3xa9cnica y Cientxc3xadfica entre la Repxc3xbablica de Colombia y la Repxc3xbablica de Chile,Bilateral,No Data,"Jul 16, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152790)",No Data,Agricultural &amp; rural development,No Data,No Data,No Data,Regional/restricted,No Data
1469,Bilateral Cooperation Agreement Minutes between Egypt and Libya on the establishment of the Joint Authority for the Study and Development of Groundwater of the Nubian Sandstone Aquifer System,Bilateral,No Data,"Jul 8, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149787)",No Data,Water,No Data,No Data,No Data,Regional/restricted,"The Egypt-Libyan Joint High Committee during the First Session held in Tripoli on 6-8 July 1991 agreed on the following: (a) to establish a Joint Authority for the Study and Development of  Groundwater of the Nubian Sandstone Aquifer System represented for Libya by the General Popular Committee for Agricultural Reform and Land Reclamation and the General Authority for Water, and for Egypt by the Ministry of Works and Water Resources, Water Research Centre and Groundwater Research Centre; (b) the Authority shall study, develop, exploit, protect and preserve the Groundwater of the Nubian Sandstone Aquifer System as well as the use it for the economic development of the two countries; (c) the competences of the Authority shall be to gather information and study results, prepare and carry out the necessary complementing studies, and to lay down programmes and plans for the exploitation of the water; (d) management and organization of the Authority; and, (e) to implement the Regulation of this Authority."
1470,Convention on fisheries cooperation among African States bordering the Atlantic Ocean,Multilateral,No Data,"Jul 5, 1991",IUCN (ID: TRE-001127),No Data,"Fisheries, Sea",No Data,No Data,www.fao.org,Regional/restricted,"Objectives: To enable Parties to promote co-operation in the area of fisheries management and development in the Region. Summary of provisions: Parties undertake to combine their efforts to ensure the conservation and rational management of their fisheries resources and take concerted action for the assessment of fish stocks occurring within the waters under the jurisdiction of more than one Party (art. 3). Further articles deal with the assessment and conservation of highly migratory species, monitoring, surveillance and control of fishing vessels, development of fishery production and means of production, marketing of fishery products, social conditions of fishermen, enhancement of vocational and technical training, development of scientific research, protection and preservation of the marine environment, harmonisation of policies, fisheries co-operation agreements, maritime data and information bank, solidarity with landlocked African States and with geographically disadvantaged States of the Region, and co-operation with other relevant organisations. Parties also agree to adopt protocols for the purpose of implementing the Convention (art. 19). Institutional framework: A Conference of Ministers is established, as well as a Bureau and a Secretariat (art. 17)."
1471,Agreement for the Establishment of Southern African Centre for Ivory Marketing SACIM,Multilateral,No Data,"Jun 20, 1991",IUCN (ID: TRE-001122),No Data,Wild species &amp; ecosystems,No Data,No Data,No Data,Regional/restricted,"Objectives: To establish a South African Centre for Ivory Marketing (SACIM). Summary of provisions: The SACIM is created to establish, monitor and control a system for the marketing of ivory and other elephant products, as well as to manage their sale in the most optimum way (art. III). The Centre is also established, inter alia, to receive information on all aspects of elephant management and conservation, to make recommendations for the conservation of elephants and their habitats, and to assist in determining the optimum elephant populations in each member countries. Parties agree, inter alia, to take note of the Centre\'s recommendations, including trade restrictions, to market all their ivory exclusively through the Centre, and to provide the latter with national data pertaining to ivory and other elephant products (art. IV). Institutional mechanisms: A South African Centre for Ivory Marketing is established (art. II) as well as a Board of Management responsible for the control of its management and for its policy direction (art. V). A Director is to be appointed by the Board as chief executive of the Centre (art. VI). Two funds are to be created under the Agreement: a Capital Fund for the establishment and operation of the Centre (art. VII) and an Elephant Conservation Fund for the promotion of elephant conservation and management (art. VIII)."
1472,Fisheries Off The United States Coast  Agreement Between the United States of America and the Republic of Korea of 1991,Bilateral,No Data,"Jun 19, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152040)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"This Agreement amends and extends an Agreement between the Parties of 26 July 1982 as amended and extended, and which expired on 1 July 1991. Amendments to the 1982 Agreement are made with a view to the desire of the Parties to address cooperatively the recommendations outlined in the United Nations General Assembly Resolution 44/225 of 1989 on large-scale pelagic driftnet fishing and the problems related to conservation of pollock resources in the central Bering Sea. In article II the definition of ""fish"" is changed."
1473,Western Indian Ocean Tuna Organization Convention,Multilateral,No Data,"Jun 19, 1991",IUCN (ID: TRE-002490),No Data,Fisheries,No Data,No Data,www.iotc.org,Regional/restricted,No Data
1474,Fisheries Off The United States Coast Agreement Between the United States of America and Poland of 1991,Bilateral,No Data,"Jun 12, 1991","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152034)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"The purpose of this Agreement is to promote effective conservation, rational management and the achievement of optimum yield in the fisheries of mutual interests off the coast of the United States, to facilitate rapid and full development of the United States Fishing Industry and to establish a common understanding of the principles and procedures under which Polish nationals may conduct fishing for living resources of the United States (art. I). In article II terms such as ""living resources over which the United States has sovereign rights to explore, exploit, conserve and manage"", ""fishery"", ""fishing"", and ""highly migratory species"" are defined. Article II is amended in paragraph 1 by deleting the phrase (""except highly migratory species of tuna"") and by deleting ""and highly migratory species"" and concluding with the phrase ""marine mammals and birds"". Article IV, which is amended concerns the determination of the ""surplus"" that may be made available to vessels of each country, including the Polish People\'s Republic. The Government of the United States will decide on basis of factors outlined in A. To Article XII a new paragraph is added. These provisions secure Polish cooperation in the implementation of United Nations General Assembly Resolution of Large-scale pelagic Driftnet Fishing and the conservation of pollock resources in the central Bering Sea."
